,Nr. crt.,Nr. dosar,Listă opțiuni (media pe opțiune),Medie Bac,Nota D. Oblig.,Nota D. Profil,NLbRo Bac,Notă M Bac,Notă TG,Medie Adm Opt1,Medie Adm Admis,Facultate admis,Domeniu admis,Nr. ordine,Tip loc admis,Termen confirmare,Nr. opțiune,RP,MR,ER,PS,CES,SRI,STS,Observații,Mențiuni
0,1,AC-238,"AC-CTI-B (9.99), AC-CTI-T (9.99), AC-AIASI-B (9.99), AC-AIASI-T (9.99)",9.95,10.0,10.0,9.85,10.0,10.0,9.99,9.99,AC,CTI-B,1,roman,2026-07-23 14:00:00,1,,,,,,,,,matematica
1,2,AC-239,"AC-CTI-B (9.97), AC-CTI-T (9.97), AC-AIASI-B (9.97), AC-AIASI-T (9.97), ETTI-IETTI-B (abs), IEEIA-IE-B (abs), IEEIA-IEN-B (abs), IEEIA-IMGM-B (abs)",9.88,10.0,9.8,9.85,10.0,10.0,9.97,9.97,AC,CTI-B,2,roman,2026-07-23 14:00:00,1,,,,,,,,,matematica
2,3,AC-373,"AC-CTI-B (9.94), ETTI-IETTI-B (abs)",9.71,9.95,9.45,9.75,9.95,10.0,9.94,9.94,AC,CTI-B,3,roman,2026-07-23 14:00:00,1,,,,,,,,,matematica
3,4,AC-205,"AC-CTI-B (9.91), AC-CTI-T (9.91)",9.56,9.4,9.65,9.65,9.4,10.0,9.91,9.91,AC,CTI-B,4,roman,2026-07-23 14:00:00,1,,,,,,,,,informatica
4,5,AC-446,"AC-CTI-B (9.87), AC-CTI-T (9.87), AC-AIASI-B (9.87), AC-AIASI-T (9.87)",9.35,9.5,9.4,9.15,9.5,10.0,9.87,9.87,AC,CTI-B,5,roman,2026-07-23 14:00:00,1,,,,,,,,,informatica
5,6,AC-276,"AC-CTI-B (9.86), AC-AIASI-B (9.86), AC-CTI-T (9.86), AC-AIASI-T (9.86), ETTI-IETTI-B (abs), ETTI-IETTI-T (abs)",9.30,9.65,9.85,8.4,9.65,10.0,9.86,9.86,AC,CTI-B,6,roman,2026-07-23 14:00:00,1,,,,,,,,,matematica
6,7,AC-118,"AC-CTI-B (9.84), AC-CTI-T (9.84), AC-AIASI-B (9.84), AC-AIASI-T (9.84), ETTI-IETTI-B (abs), ETTI-IETTI-T (abs), ETTI-IETTIEN-B (abs), ETTI-IETTIEN-T (abs), IEEIA-IE-B (abs), IEEIA-IE-T (abs), IEEIA-IEN-B (abs), IEEIA-IEN-T (abs)",9.20,9.7,10.0,7.9,9.7,10.0,9.84,9.84,AC,CTI-B,7,roman,2026-07-23 14:00:00,1,,,,,,,,,matematica
7,8,AC-56,"AC-CTI-B (9.74), AC-CTI-T (9.74), AC-AIASI-B (9.74), AC-AIASI-T (9.74)",9.93,10.0,10.0,9.8,10.0,9.7,9.74,9.74,AC,CTI-B,8,roman,2026-07-23 14:00:00,1,,,,,,,,,matematica
8,9,AC-316,"AC-CTI-B (9.73), AC-AIASI-B (9.73), AC-CTI-T (9.73), AC-AIASI-T (9.73)",9.88,10.0,9.75,9.9,10.0,9.7,9.73,9.73,AC,CTI-B,9,roman,2026-07-23 14:00:00,1,,,,,,,,,informatica
9,10,AC-116,"AC-CTI-B (9.72), AC-AIASI-B (9.72), AC-CTI-T (9.72), AC-AIASI-T (9.72), CI-II-B (abs), CI-II-T (abs)",9.80,10.0,9.9,9.5,10.0,9.7,9.72,9.72,AC,CTI-B,10,roman,2026-07-23 14:00:00,1,,,,,,,,,informatica
10,11,AC-38,"AC-CTI-B (9.70), AC-AIASI-B (9.70), AC-CTI-T (9.70), AC-AIASI-T (9.70), ETTI-IETTI-B (abs), IEEIA-IE-B (abs)",9.73,9.75,10.0,9.45,9.75,9.7,9.7,9.7,AC,CTI-B,11,roman,2026-07-23 14:00:00,1,,,,,,,,,informatica
11,12,AC-232,"AC-CTI-B (9.69), AC-CTI-T (9.69), AC-AIASI-B (9.69), AC-AIASI-T (9.69)",9.65,9.7,9.75,9.5,9.7,9.7,9.69,9.69,AC,CTI-B,12,roman,2026-07-23 14:00:00,1,,,,,,,,,matematica
12,13,AC-380,"AC-CTI-B (9.68), AC-AIASI-B (9.68), AC-CTI-T (9.68), AC-AIASI-T (9.68)",9.61,9.95,8.9,10.0,9.95,9.7,9.68,9.68,AC,CTI-B,13,roman,2026-07-23 14:00:00,1,,,,,,,,,matematica
13,14,AC-51,"AC-CTI-B (9.65), AC-AIASI-B (9.65), AC-CTI-T (9.65), AC-AIASI-T (9.65)",9.48,9.55,9.95,8.95,9.55,9.7,9.65,9.65,AC,CTI-B,14,roman,2026-07-23 14:00:00,1,,,,,,,,,informatica
14,15,AC-411,"AC-CTI-B (9.65), AC-AIASI-B (9.65), ETTI-IETTI-B (abs), IEEIA-IEN-B (abs)",9.48,9.35,9.85,9.25,9.35,9.7,9.65,9.65,AC,CTI-B,15,roman,2026-07-23 14:00:00,1,,,,,,,,,matematica
15,16,AC-20,"AC-CTI-B (9.59), AC-CTI-T (9.59), AC-AIASI-B (9.59), AC-AIASI-T (9.59)",9.15,9.6,9.05,8.8,9.6,9.7,9.59,9.59,AC,CTI-B,16,roman,2026-07-23 14:00:00,1,,,,,,,,,matematica
16,17,AC-67,"AC-CTI-B (9.52), AC-AIASI-B (9.52), AC-CTI-T (9.52), AC-AIASI-T (9.52)",8.80,10.0,7.3,9.1,10.0,9.7,9.52,9.52,AC,CTI-B,17,roman,2026-07-23 14:00:00,1,,,,,,,,,matematica
17,18,AC-204,"AC-CTI-B (9.52), AC-AIASI-B (9.52), AC-CTI-T (9.52), AC-AIASI-T (9.52)",olimpic,9.6,9.9,9.15,9.6,9.4,9.52,9.52,AC,CTI-B,18,roman,2026-07-23 14:00:00,1,,,,,,,,,informatica
18,19,AC-265,"AC-CTI-B (9.50), AC-AIASI-B (9.50), AC-CTI-T (9.50), AC-AIASI-T (9.50), DIMA-IMGM-B (abs), ETTI-IETTI-B (abs)",9.91,10.0,10.0,9.75,10.0,9.4,9.5,9.5,AC,CTI-B,19,roman,2026-07-23 14:00:00,1,,,,,,,,,informatica
19,20,AC-223,"AC-CTI-B (9.49), AC-AIASI-B (9.49), AC-CTI-T (9.49), AC-AIASI-T (9.49), ETTI-IETTI-B (abs), ETTI-IETTIEN-B (abs), IEEIA-IEN-B (abs), IEEIA-IMGM-B (abs)",9.85,9.9,9.9,9.75,9.9,9.4,9.49,9.49,AC,CTI-B,20,roman,2026-07-23 14:00:00,1,,,,,,,,,informatica
20,21,AC-15,"AC-CTI-B (9.47), AC-AIASI-B (9.47), AC-CTI-T (9.47), AC-AIASI-T (9.47)",9.76,9.95,9.85,9.5,9.95,9.4,9.47,9.47,AC,CTI-B,21,roman,2026-07-23 14:00:00,1,,,,,,,,,matematica
21,22,AC-417,"AC-CTI-B (9.46), AC-AIASI-B (9.46), AC-CTI-T (9.46), AC-AIASI-T (9.46)",9.73,10.0,9.65,9.55,10.0,9.4,9.46,9.46,AC,CTI-B,22,roman,2026-07-23 14:00:00,1,,,,,,,,,matematica
22,23,AC-200,"AC-CTI-B (9.46), AC-CTI-T (9.46), AC-AIASI-B (9.46), AC-AIASI-T (9.46), ETTI-IETTI-B (abs), ETTI-IETTI-T (abs), ETTI-IETTIEN-B (abs), ETTI-IETTIEN-T (abs)",9.71,9.85,10.0,9.3,9.85,9.4,9.46,9.46,AC,CTI-B,23,roman,2026-07-23 14:00:00,1,,,,,,,,,informatica
23,24,AC-465,"AC-CTI-B (9.45), AC-AIASI-B (9.45), ETTI-IETTI-B (abs)",9.68,9.95,9.6,9.5,9.95,9.4,9.45,9.45,AC,CTI-B,24,roman,2026-07-23 14:00:00,1,,,,,,,,,matematica
24,25,AC-233,"AC-CTI-B (9.45), AC-AIASI-B (9.45), AC-CTI-T (9.45), AC-AIASI-T (9.45), ETTI-IETTI-B (abs), IEEIA-IE-B (abs), IEEIA-IEN-B (abs), IEEIA-IMGM-B (abs)",9.65,9.6,10.0,9.35,9.6,9.4,9.45,9.45,AC,CTI-B,25,roman,2026-07-23 14:00:00,1,,,,,,,,,informatica
25,26,AC-164,"AC-CTI-B (9.44), AC-CTI-T (9.44), AC-AIASI-B (9.44), AC-AIASI-T (9.44)",9.60,9.95,9.8,9.05,9.95,9.4,9.44,9.44,AC,CTI-B,26,roman,2026-07-23 14:00:00,1,,,,,,,,,matematica
26,27,AC-65,"AC-CTI-B (9.42), AC-AIASI-B (9.42)",8.33,9.95,8.25,6.8,9.95,9.7,9.42,9.42,AC,CTI-B,27,roman,2026-07-23 14:00:00,1,,,,,,,,,matematica
27,28,AC-470,"AC-CTI-B (9.39), AC-AIASI-B (9.39), AC-CTI-T (9.39), AC-AIASI-T (9.39)",9.38,9.25,9.45,9.45,9.25,9.4,9.39,9.39,AC,CTI-B,28,roman,2026-07-23 14:00:00,1,,,,,,,,,informatica
28,29,AC-430,"AC-CTI-B (9.36), AC-AIASI-B (9.36), AC-CTI-T (9.36), AC-AIASI-T (9.36), ETTI-IETTI-B (abs), ETTI-IETTIEN-B (abs), IEEIA-IE-B (abs), IEEIA-IMGM-B (abs), IEEIA-IEN-B (abs), CMMI-IIND-B (abs), CMMI-IMEC-B (abs), MEC-MR-B (abs), MEC-IA-B (abs), MEC-IMEC-B (abs)",9.23,9.7,9.4,8.6,9.7,9.4,9.36,9.36,AC,CTI-B,29,roman,2026-07-23 14:00:00,1,,,,,,,,,matematica
29,30,AC-386,"AC-CTI-B (9.27), AC-AIASI-B (9.27), AC-CTI-T (9.27), AC-AIASI-T (9.27), ETTI-IETTI-B (abs), ETTI-IETTI-T (abs)",9.95,9.85,10.0,10.0,9.85,9.1,9.27,9.27,AC,CTI-B,30,roman,2026-07-23 14:00:00,1,,,,,,,,,matematica
30,31,AC-140,"AC-CTI-B (9.25), AC-AIASI-B (9.25), AC-CTI-T (9.25), AC-AIASI-T (9.25), ETTI-IETTI-B (abs)",9.85,10.0,9.65,9.9,10.0,9.1,9.25,9.25,AC,CTI-B,31,roman,2026-07-23 14:00:00,1,,,,,,,,,matematica
31,32,AC-387,"AC-CTI-B (9.23), AC-CTI-T (9.23), AC-AIASI-B (9.23), AC-AIASI-T (9.23), ETTI-IETTI-B (abs), MEC-MR-B (abs), MEC-MR-T (abs), MEC-IA-B (abs), MEC-IA-T (abs), MEC-IMEC-B (abs), MEC-IMEC-T (abs)",9.75,9.95,9.55,9.75,9.95,9.1,9.23,9.23,AC,CTI-B,32,roman,2026-07-23 14:00:00,1,,,,,,,,,informatica
32,33,AC-125,"AC-CTI-B (9.21), AC-AIASI-B (9.21), ETTI-IETTI-B (abs)",9.65,10.0,9.55,9.4,10.0,9.1,9.21,9.21,AC,CTI-B,33,roman,2026-07-23 14:00:00,1,,,,,,,,,informatica
33,34,AC-9,"AC-CTI-B (9.21), AC-CTI-T (9.21), ETTI-IETTI-B (abs), ETTI-IETTI-T (abs), IEEIA-IE-B (abs), IEEIA-IE-T (abs)",9.68,9.35,10.0,9.7,9.35,9.1,9.21,9.21,AC,CTI-B,34,roman,2026-07-23 14:00:00,1,,,,,,,,,informatica
34,35,AC-64,"AC-CTI-B (9.20), AC-CTI-T (9.20), AC-AIASI-B (9.20), AC-AIASI-T (9.20), ETTI-IETTI-B (abs), ETTI-IETTI-T (abs), CI-ICIV-B (abs), CI-ICIV-T (abs)",9.60,9.95,9.75,9.1,9.95,9.1,9.2,9.2,AC,CTI-B,35,roman,2026-07-23 14:00:00,1,,,,,,,,,matematica
35,36,AC-99,"AC-CTI-B (9.20), ETTI-IETTIEN-B (abs), MEC-IMEC-B (abs)",9.63,9.75,9.65,9.5,9.75,9.1,9.2,9.2,AC,CTI-B,36,roman,2026-07-23 14:00:00,1,,,,,,,,,matematica
36,37,AC-201,"AC-CTI-B (9.19), AC-AIASI-B (9.19), ETTI-IETTI-B (abs), IEEIA-IE-B (abs), IEEIA-IEN-B (abs), IEEIA-IMGM-B (abs)",9.56,10.0,9.85,8.85,10.0,9.1,9.19,9.19,AC,CTI-B,37,roman,2026-07-23 14:00:00,1,,,,,,,,,matematica
37,38,AC-244,"AC-CTI-B (9.19), AC-AIASI-B (9.19), AC-CTI-T (9.19), AC-AIASI-T (9.19), ETTI-IETTI-B (abs), ETTI-IETTI-T (abs)",9.56,9.35,9.75,9.6,9.35,9.1,9.19,9.19,AC,CTI-B,38,roman,2026-07-23 14:00:00,1,,,,,,,,,matematica
38,39,AC-126,"AC-CTI-B (9.18), AC-CTI-T (9.18), AC-AIASI-B (9.18), AC-AIASI-T (9.18)",9.50,9.8,9.95,8.75,9.8,9.1,9.18,9.18,AC,CTI-B,39,roman,2026-07-23 14:00:00,1,,,,,,,,,informatica
39,40,AC-181,"AC-CTI-B (9.18), AC-CTI-T (9.18), ETTI-IETTI-B (abs), ETTI-IETTIEN-B (abs), ETTI-IETTI-T (abs), ETTI-IETTIEN-T (abs), IEEIA-IE-B (abs), IEEIA-IMGM-B (abs), IEEIA-IE-T (abs), IEEIA-IMGM-T (abs), IEEIA-IEN-B (abs), IEEIA-IEN-T (abs)",9.50,9.55,9.6,9.35,9.55,9.1,9.18,9.18,AC,CTI-B,40,roman,2026-07-23 14:00:00,1,,,,,,,,,matematica
40,41,AC-132,"AC-CTI-B (9.17), AC-CTI-T (9.17), AC-AIASI-B (9.17), AC-AIASI-T (9.17), ETTI-IETTI-B (abs), ETTI-IETTIEN-B (abs)",9.48,9.9,9.35,9.2,9.9,9.1,9.17,9.17,AC,CTI-B,41,roman,2026-07-23 14:00:00,1,,,,,,,,,matematica
41,42,AC-405,"AC-CTI-B (9.17), AC-CTI-T (9.17), AC-AIASI-B (9.17), AC-AIASI-T (9.17), ETTI-IETTI-B (abs)",9.45,9.85,9.2,9.3,9.85,9.1,9.17,9.17,AC,CTI-B,42,roman,2026-07-23 14:00:00,1,,,,,,,,,informatica
42,43,AC-231,"AC-CTI-B (9.16), AC-AIASI-B (9.16), AC-CTI-T (9.16), AC-AIASI-T (9.16), ETTI-IETTI-B (abs), ETTI-IETTI-T (abs)",9.43,9.85,9.55,8.9,9.85,9.1,9.16,9.16,AC,CTI-B,43,roman,2026-07-23 14:00:00,1,,,,,,,,,matematica
43,44,AC-246,"AC-CTI-B (9.16), AC-CTI-T (9.16), AC-AIASI-B (9.16), AC-AIASI-T (9.16), ETTI-IETTI-B (abs), MEC-MR-B (abs), MEC-IMEC-B (abs), MEC-IA-B (abs)",9.40,9.55,8.9,9.75,9.55,9.1,9.16,9.16,AC,CTI-B,44,roman,2026-07-23 14:00:00,1,,,,,,,,,informatica
